Text,Marked,Labels
பலபல,பல+பல, NSP NSP SP NSP NSP
சிலசில,சில+சில, NSP NSP NSP SP NSP NSP NSP
பலப்பல,பல+பல, NSP NSP SP NSP NSP
சிலச்சில,சில+சில, NSP NSP NSP SP NSP NSP NSP
பலற்பல,பல+பல, NSP NSP SP NSP NSP
சிலற்சில,சில+சில, NSP NSP NSP SP NSP NSP NSP
பல்கலை,பல+கலை, NSP NSP SP NSP NSP NSP
பல்சாலை,பல+சாலை, NSP NSP SP NSP NSP NSP NSP
பஃதொடை,பல+தொடை, NSP NSP SP NSP NSP NSP NSP
பன்மலர்,பல+மலர், NSP NSP SP NSP NSP NSP NSP
பன்னாடு,பல+நாடு, NSP NSP SP NSP NSP NSP NSP
பல்வேண்டி,பல+வேண்டி, NSP NSP SP NSP NSP NSP NSP NSP NSP
பல்லரண்,பல+அரண், NSP NSP SP NSP NSP NSP NSP
சில்சொல்,சில+சொல், NSP NSP NSP SP NSP NSP NSP NSP
சின்மலர்,சில+மலர், NSP NSP NSP SP NSP NSP NSP NSP
சில்வளை,சில+வளை, NSP NSP NSP SP NSP NSP NSP
சில்லணி,சில+அணி, NSP NSP NSP SP NSP NSP NSP
வடகிழக்கு,வடக்கு+கிழக்கு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
வடமேற்கு,வடக்கு+மேற்கு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
வடவேங்கடம்,வடக்கு+வேங்கடம், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
குடதிசை,குடக்கு+திசை, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
குணதிசை,குணக்கு+திசை, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
தென்கிழக்கு,தெற்கு+கிழக்கு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
தென்மேற்கு,தெற்கு+மேற்கு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
தென்குமரி,தெற்கு+குமரி, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
தென்பாண்டி,தெற்கு+பாண்டி, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
மேல்காற்று,மேற்கு+காற்று, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
மேலூர்,மேற்கு+ஊர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
கீழ்கடல்,கிழக்கு+கடல், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
கீழ்நாடு,கிழக்கு+நாடு, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
நல்லன்,நன்மை+அன், NSP NSP NSP NSP NSP SP NSP NSP NSP
வெண்பட்டு,வெண்மை+பட்டு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
வெண்குடை,வெண்மை+குடை, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
செம்மலர்,செம்மை+மலர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
பெரியன்,பெருமை+அன், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
சிறியன்,சிறுமை+அன், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
மூதூர்,முதுமை+ஊர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
பாசி,பசுமை+இ, NSP NSP NSP NSP NSP SP NSP
பைங்கொடி,பசுமை+கொடி, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
பைந்தார்,பசுமை+தார், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
சிற்றூர்,சிறுமை+ஊர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
வெற்றிலை,வெறுமை+இலை, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
வெவ்வேல்,வெம்மை+வேல், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
வெந்நீர்,வெம்மை+நீர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
செங்கோல்,செம்மை+கோல், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
செந்தமிழ்,செம்மை+தமிழ், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
பேரூர்,பெருமை+ஊர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
பைம்பொழில்,பசுமை+பொழில், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
தமிழாசிரியர்,தமிழ்+ஆசிரியர், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
கடவுளருள்,கடவுள்+அருள், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
பொருளனைத்தும்,பொருள்+அனைத்தும், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
பூங்கொடி,பூ+கொடி, NSP NSP SP NSP NSP NSP NSP
பூஞ்சோலை,பூ+சோலை, NSP NSP SP NSP NSP NSP NSP
பூந்தோட்டம்,பூ+தோட்டம், NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
பூம்பாவை,பூ+பாவை, NSP NSP SP NSP NSP NSP NSP
கண்ணொளி,கண்+ஒளி, NSP NSP NSP SP NSP NSP NSP
பண்ணோசை,பண்+ஓசை, NSP NSP NSP SP NSP NSP NSP
மண்ணோசை,மண்+ஓசை, NSP NSP NSP SP NSP NSP NSP
மணியடித்தது,மணி+அடித்தது, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
தீயெரிந்தது,தீ+எரிந்தது, NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
வாழையிலை,வாழை+இலை, NSP NSP NSP NSP SP NSP NSP NSP
நிலாவழகு,நிலா+அழகு, NSP NSP NSP NSP SP NSP NSP NSP NSP
சேயழகு,சே+அழகு, NSP NSP SP NSP NSP NSP NSP
சேவழகு,சே+அழகு, NSP NSP SP NSP NSP NSP NSP
அந்தப்பையன்,அந்த+பையன், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
இந்தப்பெட்டி,இந்த+பெட்டி, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
அத்துணைப் புகழ்,அத்துணை+புகழ், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
இத்துணைச் செழுமை,இத்துணை+செழுமை, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
எத்துணைக் கொடுமை,எத்துணை+கொடுமை, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
அவ்வகைக்காடு,அவ்வகை+காடு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
இவ்வகைத்தோப்பு,இவ்வகை+தோப்பு, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
எவ்வகைப்பெயர்,எவ்வகை+பெயர், NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
மற்றக்கலைகள்,மற்ற+கலைகள், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
மற்றுச்சிலை,மற்ற+சிலை, NSP NSP NSP NSP SP NSP NSP NSP NSP
மற்றைப்பயன்,மற்றை+பயன், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
மோர்க்குடம்,மோர்+குடம், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
மலர்க்கூந்தல்,மலர்+கூந்தல், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
தயிர்ப்பானை,தயிர்+பானை, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
தண்ணீர்த்தொட்டி,தண்ணீர்+தொட்டி, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
மரப்பெட்டி,மரம்+பெட்டி, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
இரும்புத்தூண்,இரும்பு+தூண், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
தங்கத்தாலி,தங்கம்+தாலி, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
குடைக்கம்பி,குடை+கம்பி, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
சட்டைத்துணி,சட்டை+துணி, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
அடுப்புப்புகை,அடுப்பு+புகை, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
விழிப்புனல்,விழி+புனல், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
புதுக்குடம்,புது+குடம், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
வட்டப்பலகை,வட்டம்+பலகை, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
பொய்ச்செய்தி,பொய்+செய்தி, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
வேழக்கரும்பு,வேழம்+கரும்பு, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
தாமரைப்பூ,தாமரை+பூ, NSP NSP NSP NSP NSP SP NSP NSP
மார்கழித்திங்கள்,மார்கழி+திங்கள், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
தாமரைக்கண்ணன்,தாமரை+கண்ணன், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
பவளச்செவ்வாய்,பவளம்+செவ்வாய், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
மலைத்தோள்,மலை+தோள், NSP NSP NSP SP NSP NSP NSP NSP
அரைக்காணி,அரை+காணி, NSP NSP NSP SP NSP NSP NSP NSP
அரைப்படி,அரை+படி, NSP NSP NSP SP NSP NSP NSP
பாதிப்பங்கு,பாதி+பங்கு, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
அரைத்தொட்டி,அரை+தொட்டி, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
பாதிச்செலவு,பாதி+செலவு, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
திருக்கோவில்,திரு+கோவில், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
புதுப்புது,புது+புது, NSP NSP NSP NSP SP NSP NSP NSP NSP
பொதுச்சாலை,பொது+சாலை, NSP NSP NSP NSP SP NSP NSP NSP NSP
வினாக்குறி,வினா+குறி, NSP NSP NSP NSP SP NSP NSP NSP NSP
பலாப்பழம்,பலா+பழம், NSP NSP NSP SP NSP NSP NSP NSP
கருத்தாய்க்கேட்டாள்,கருத்தாய்+கேட்டாள், NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
அன்பாய்ச்சொன்னார்,அன்பாய்+சொன்னார், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
போய்ப்பார்,போய்+பார், NSP NSP NSP NSP SP NSP NSP NSP NSP
முன்னர்க்கண்டோம்,முன்னர்+கண்டோம், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
பின்னர்க்காண்போம்,பின்னர்+காண்போம், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
முன்னர்ச்செல்க,முன்னர்+செல்க, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
பின்னர்ப்பணிந்தார்,பின்னர்+பணிந்தார், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
பட்டுச்சேலை,பட்டு+சேலை, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
பத்துப்பாட்டு,பத்து+பாட்டு, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
அவ்வளவுபெரிது,அவ்வளவு+பெரிது, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
இவ்வளவு கனிவா?,இவ்வளவு+கனிவா, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
எவ்வளவு தொலைவு?,எவ்வளவு+தொலைவு, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
அத்தனை புத்தகங்களா?,அத்துணை+புத்தகங்களா, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
இத்தனை தொழில்களா?,இத்துணை+தொழில்களா, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
எத்தனை கருவிகள்?,எத்துணை+கருவிகள், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
அவனா கேட்டான்?,அவனா+கேட்டான், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
அவளா சொன்னாள்?,அவளா+சொன்னாள், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
யாரே கண்டார்?,யாரே+கண்டார், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
பெரிய பெண்,பெரிய+பெண், NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
கற்ற சிறுவன்,கற்ற+சிறுவன், NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
நில்லாத செல்வம்,நில்லாத+செல்வம், NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
